x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
0.08953,5.05918,0.0099846,0,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.33432e-13,
0.0893725,5.0492,0.0099846,0.0099846,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.33432e-13,
0.0892151,5.03921,0.0099846,0.0199692,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0890576,5.02923,0.0099846,0.0299538,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0889002,5.01925,0.0099846,0.0399384,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0887427,5.00926,0.0099846,0.049923,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0885853,4.99928,0.0099846,0.0599076,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0884278,4.9893,0.0099846,0.0698922,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0882704,4.97931,0.0099846,0.0798768,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0881129,4.96933,0.0099846,0.0898614,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0879555,4.95935,0.0099846,0.099846,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.087798,4.94936,0.0099846,0.109831,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0876405,4.93938,0.0099846,0.119815,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0874831,4.9294,0.0099846,0.1298,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0873256,4.91941,0.0099846,0.139784,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0871682,4.90943,0.0099846,0.149769,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0870107,4.89945,0.0099846,0.159754,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0868533,4.88946,0.0099846,0.169738,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0866958,4.87948,0.0099846,0.179723,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0865384,4.8695,0.0099846,0.189707,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0863809,4.85951,0.0099846,0.199692,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0862235,4.84953,0.0099846,0.209677,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.44552e-13,
0.086066,4.83955,0.0099846,0.219661,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0859085,4.82956,0.0099846,0.229646,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0857511,4.81958,0.0099846,0.23963,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0855936,4.8096,0.0099846,0.249615,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.44552e-13,
0.0854362,4.79961,0.0099846,0.2596,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0852787,4.78963,0.0099846,0.269584,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0851213,4.77965,0.0099846,0.279569,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0849638,4.76966,0.0099846,0.289553,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0848064,4.75968,0.0099846,0.299538,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0846489,4.7497,0.0099846,0.309523,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0844915,4.73971,0.0099846,0.319507,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.084334,4.72973,0.0099846,0.329492,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0841765,4.71975,0.0099846,0.339476,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0840191,4.70976,0.0099846,0.349461,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0838616,4.69978,0.0099846,0.359446,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0837042,4.6898,0.0099846,0.36943,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0835467,4.67981,0.0099846,0.379415,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0833893,4.66983,0.0099846,0.389399,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0832318,4.65985,0.0099846,0.399384,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0830744,4.64986,0.0099846,0.409369,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0829169,4.63988,0.0099846,0.419353,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0827595,4.6299,0.0099846,0.429338,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.082602,4.61991,0.0099846,0.439322,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0824445,4.60993,0.0099846,0.449307,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0822871,4.59995,0.0099846,0.459292,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0821296,4.58996,0.0099846,0.469276,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0819722,4.57998,0.0099846,0.479261,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0818147,4.57,0.0099846,0.489245,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0816573,4.56001,0.0099846,0.49923,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0814998,4.55003,0.0099846,0.509215,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0813424,4.54005,0.0099846,0.519199,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0811849,4.53006,0.0099846,0.529184,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0810275,4.52008,0.0099846,0.539168,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.08087,4.5101,0.0099846,0.549153,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0807125,4.50011,0.0099846,0.559138,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0805551,4.49013,0.0099846,0.569122,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0803976,4.48015,0.0099846,0.579107,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.44552e-13,
0.0802402,4.47016,0.0099846,0.589091,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0800827,4.46018,0.0099846,0.599076,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0799253,4.4502,0.0099846,0.609061,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0797678,4.44021,0.0099846,0.619045,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.44552e-13,
0.0796104,4.43023,0.0099846,0.62903,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0794529,4.42024,0.0099846,0.639014,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
